country_code,country,health_spending_usd,health_spending_gdp,cancer_survival,dtp3
TON,Tonga,266.7,5.75,49.23,99.0
TTO,Trinidad and Tobago,1097.0,6.91,85.3,93.0
TUN,Tunisia,212.6,6.02,73.49,98.0
TUR,Türkiye,388.7,4.36,84.45,99.0
TUV,Tuvalu,1139.0,22.22,49.03,92.0
TZA,United Republic of Tanzania,39.98,4.02,46.55,91.0
UGA,Uganda,33.37,3.79,37.58,93.0
UKR,Ukraine,242.8,7.09,77.19,80.0
URY,Uruguay,1693.0,9.24,83.85,94.0
USA,United States of America,10550.0,16.54,90.94,94.0
UZB,Uzbekistan,98.62,4.84,67.6,96.0
VCT,Saint Vincent and the Grenadines,372.1,4.26,60.84,97.0
VEN,Venezuela (Bolivarian Republic of),112.7,2.19,82.91,64.0
VNM,Viet Nam,171.2,4.97,76.63,89.0
VUT,Vanuatu,112.1,3.5,45.98,90.0
WSM,Samoa,242.9,5.65,52.13,68.0
YEM,Yemen,80.95,10.97,45.19,60.0
ZAF,South Africa,538.8,8.25,54.36,85.0
ZMB,Zambia,85.02,6.75,44.75,88.0
ZWE,Zimbabwe,55.11,3.23,47.18,90.0
